corr;ICA;numOrig;CorrOrig;comment
0.952;ICA2;2;0.952;Correlation of Signals:"
0.919;ICA2;2;0.919;Correlation of Diff-Signals:"
0.953;ICA2;2;0.953;Correlation of Signals - Lag = 1 :"
0.925;ICA2;2;0.925;Correlation of Diff-Signals - Lag = 1 :"
0.874;ICA3;2;0.874;Correlation of Signals:"
0.376;ICA3;2;0.376;Correlation of Diff-Signals:"
0.800;ICA3;2;0.800;Correlation of Signals - Lag = 7 :"
0.413;ICA3;2;0.413;Correlation of Diff-Signals - Lag = 7 :"
0.873;ICA4;2;0.873;Correlation of Signals:"
0.562;ICA4;2;0.562;Correlation of Diff-Signals:"
0.878;ICA4;2;0.878;Correlation of Signals - Lag = 1 :"
0.563;ICA4;2;0.563;Correlation of Diff-Signals - Lag = 1 :"
0.784;ICA5;2;0.784;Correlation of Signals:"
0.372;ICA5;2;0.372;Correlation of Diff-Signals:"
0.302;ICA5;2;0.302;Correlation of Signals - Lag = 17 :"
0.244;ICA5;2;0.244;Correlation of Diff-Signals - Lag = 17 :"
0.646;ICA6;2;0.646;Correlation of Signals:"
0.279;ICA6;2;0.279;Correlation of Diff-Signals:"
0.731;ICA6;2;0.731;Correlation of Signals - Lag = 1 :"
0.299;ICA6;2;0.299;Correlation of Diff-Signals - Lag = 1 :"
0.914;ICA2;3;0.914;Correlation of Signals:"
0.953;ICA2;3;0.953;Correlation of Diff-Signals:"
0.891;ICA2;3;0.891;Correlation of Signals - Lag = 1 :"
0.951;ICA2;3;0.951;Correlation of Diff-Signals - Lag = 1 :"
0.978;ICA3;3;0.978;Correlation of Signals:"
0.978;ICA3;3;0.978;Correlation of Diff-Signals:"
0.978;ICA3;3;0.978;Correlation of Signals - Lag = 1 :"
0.983;ICA3;3;0.983;Correlation of Diff-Signals - Lag = 1 :"
0.957;ICA4;3;0.957;Correlation of Signals:"
0.815;ICA4;3;0.815;Correlation of Diff-Signals:"
0.950;ICA4;3;0.950;Correlation of Signals - Lag = 1 :"
0.808;ICA4;3;0.808;Correlation of Diff-Signals - Lag = 1 :"
0.927;ICA5;3;0.927;Correlation of Signals:"
0.622;ICA5;3;0.622;Correlation of Diff-Signals:"
0.747;ICA5;3;0.747;Correlation of Signals - Lag = 9 :"
0.548;ICA5;3;0.548;Correlation of Diff-Signals - Lag = 9 :"
0.875;ICA6;3;0.875;Correlation of Signals:"
0.486;ICA6;3;0.486;Correlation of Diff-Signals:"
0.822;ICA6;3;0.822;Correlation of Signals - Lag = 7 :"
0.450;ICA6;3;0.450;Correlation of Diff-Signals - Lag = 7 :"
0.724;ICA7;3;0.724;Correlation of Signals:"
0.503;ICA7;3;0.503;Correlation of Diff-Signals:"
0.168;ICA7;3;0.168;Correlation of Signals - Lag = 17 :"
0.147;ICA7;3;0.147;Correlation of Diff-Signals - Lag = 17 :"
0.778;ICA8;3;0.778;Correlation of Signals:"
0.933;ICA2;4;0.933;Correlation of Diff-Signals:"
0.438;ICA2;4;-0.438;Correlation of Signals - Lag = 20 :"
0.234;ICA2;4;-0.234;Correlation of Diff-Signals - Lag = 20 :"
0.798;ICA3;4;0.798;Correlation of Signals:"
0.812;ICA3;4;0.812;Correlation of Diff-Signals:"
0.781;ICA3;4;0.781;Correlation of Signals - Lag = 2 :"
0.811;ICA3;4;0.811;Correlation of Diff-Signals - Lag = 2 :"
0.911;ICA4;4;0.911;Correlation of Signals:"
0.862;ICA4;4;0.862;Correlation of Diff-Signals:"
0.909;ICA4;4;0.909;Correlation of Signals - Lag = 1 :"
0.872;ICA4;4;0.872;Correlation of Diff-Signals - Lag = 1 :"
0.919;ICA5;4;0.919;Correlation of Signals:"
0.905;ICA5;4;0.905;Correlation of Diff-Signals:"
0.918;ICA5;4;0.918;Correlation of Signals - Lag = 1 :"
0.914;ICA5;4;0.914;Correlation of Diff-Signals - Lag = 1 :"
0.798;ICA6;4;0.798;Correlation of Signals:"
0.671;ICA6;4;0.671;Correlation of Diff-Signals:"
0.780;ICA6;4;0.780;Correlation of Signals - Lag = 1 :"
0.690;ICA6;4;0.690;Correlation of Diff-Signals - Lag = 1 :"
0.955;ICA7;4;0.955;Correlation of Signals:"
0.907;ICA7;4;0.907;Correlation of Diff-Signals:"
0.0848;ICA7;4;0.0848;Correlation of Signals - Lag = 20 :"
0.133;ICA7;4;0.133;Correlation of Diff-Signals - Lag = 20 :"
0.847;ICA8;4;0.847;Correlation of Signals:"
0.952;ICA2;5;0.952;Correlation of Diff-Signals:"
0.821;ICA2;5;0.821;Correlation of Signals - Lag = 1 :"
0.941;ICA2;5;0.941;Correlation of Diff-Signals - Lag = 1 :"
0.866;ICA3;5;0.866;Correlation of Signals:"
0.960;ICA3;5;0.960;Correlation of Diff-Signals:"
0.480;ICA3;5;-0.480;Correlation of Signals - Lag = 20 :"
0.311;ICA3;5;-0.311;Correlation of Diff-Signals - Lag = 20 :"
0.863;ICA4;5;0.863;Correlation of Signals:"
0.899;ICA4;5;0.899;Correlation of Diff-Signals:"
0.860;ICA4;5;0.860;Correlation of Signals - Lag = 1 :"
0.902;ICA4;5;0.902;Correlation of Diff-Signals - Lag = 1 :"
0.934;ICA5;5;0.934;Correlation of Signals:"
0.917;ICA5;5;0.917;Correlation of Diff-Signals:"
0.922;ICA5;5;0.922;Correlation of Signals - Lag = 1 :"
0.901;ICA5;5;0.901;Correlation of Diff-Signals - Lag = 1 :"
0.907;ICA6;5;0.907;Correlation of Signals:"
0.790;ICA6;5;0.790;Correlation of Diff-Signals:"
0.908;ICA6;5;0.908;Correlation of Signals - Lag = 1 :"
0.792;ICA6;5;0.792;Correlation of Diff-Signals - Lag = 1 :"
0.625;ICA7;5;0.625;Correlation of Signals:"
0.318;ICA7;5;0.318;Correlation of Diff-Signals:"
0.590;ICA7;5;0.590;Correlation of Signals - Lag = 1 :"
0.301;ICA7;5;0.301;Correlation of Diff-Signals - Lag = 1 :"
0.339;ICA8;5;0.339;Correlation of Signals:"
0.584;ICA2;6;0.584;Correlation of Diff-Signals:"
0.0753;ICA2;6;0.0753;Correlation of Signals - Lag = 13 :"
0.282;ICA2;6;0.282;Correlation of Diff-Signals - Lag = 13 :"
0.220;ICA3;6;0.220;Correlation of Signals:"
0.425;ICA3;6;0.425;Correlation of Diff-Signals:"
0.132;ICA3;6;0.132;Correlation of Signals - Lag = 14 :"
0.112;ICA3;6;0.112;Correlation of Diff-Signals - Lag = 14 :"
0.696;ICA4;6;0.696;Correlation of Signals:"
0.779;ICA4;6;0.779;Correlation of Diff-Signals:"
0.136;ICA4;6;-0.136;Correlation of Signals - Lag = 18 :"
0.202;ICA4;6;0.202;Correlation of Diff-Signals - Lag = 18 :"
0.531;ICA5;6;0.531;Correlation of Signals:"
0.700;ICA5;6;0.700;Correlation of Diff-Signals:"
0.304;ICA5;6;0.304;Correlation of Signals - Lag = 8 :"
0.558;ICA5;6;0.558;Correlation of Diff-Signals - Lag = 8 :"
0.933;ICA6;6;0.933;Correlation of Signals:"
0.951;ICA6;6;0.951;Correlation of Diff-Signals:"
0.332;ICA6;6;-0.332;Correlation of Signals - Lag = 18 :"
0.178;ICA6;6;-0.178;Correlation of Diff-Signals - Lag = 18 :"
0.854;ICA7;6;0.854;Correlation of Signals:"
0.779;ICA7;6;0.779;Correlation of Diff-Signals:"
0.809;ICA7;6;0.809;Correlation of Signals - Lag = 1 :"
0.747;ICA7;6;0.747;Correlation of Diff-Signals - Lag = 1 :"
